person1_word_idx,person2_word_idx,sentence,tokens,person1_right_tokens,person2_right_tokens,between_tokens,Label
"(0, 1)","(17, 18)","Simon Cowell is given the task of handing out the cones to fellow judges Nick Grimshaw, Rita Ora and Cheryl Fernandez-Versini      Started well...","['Simon', 'Cowell', 'is', 'given', 'the', 'task', 'of', 'handing', 'out', 'the', 'cones', 'to', 'fellow', 'judges', 'Nick', 'Grimshaw', ',', 'Rita', 'Ora', 'and', 'Cheryl', 'Fernandez', '-', 'Versini', '', 'Started', 'well', '...']","['is', 'given', 'the', 'task']","['and', 'Cheryl', 'Fernandez', '-']","['is', 'given', 'the', 'task', 'of', 'handing', 'out', 'the', 'cones', 'to', 'fellow', 'judges', 'Nick', 'Grimshaw', ',']",0
"(11, 11)","(15, 15)",But her sketches are eloquent even when they're just depicting Thomas' cat or Zoe's conventionally awful boyfriend.,"['But', 'her', 'sketches', 'are', 'eloquent', 'even', 'when', 'they', 're', 'just', 'depicting', 'Thomas', '', 'cat', 'or', 'Zoe', 's', 'conventionally', 'awful', 'boyfriend', '.']","['', 'cat', 'or', 'Zoe']","['s', 'conventionally', 'awful', 'boyfriend']","['', 'cat', 'or']",0
"(48, 51)","(83, 86)","The Inception actor paid a lot of attention to the crowd       Nice bloke: Tom even cracked a smile as he posed with his female fans      Hard at work: The star made a lot of people's days on Saturday       Wise: Unlike her Legend co-star, Emily was bone dry having arrived to the event under a giant umbrella   The photos of the actor - who is currently expecting his first child with second wife Charlotte Riley - surfaced after he made the unfortunate mistake of leaving his old MySpace profile open.    ","['The', 'Inception', 'actor', 'paid', 'a', 'lot', 'of', 'attention', 'to', 'the', 'crowd', '', 'Nice', 'bloke', ':', 'Tom', 'even', 'cracked', 'a', 'smile', 'as', 'he', 'posed', 'with', 'his', 'female', 'fans', '', 'Hard', 'at', 'work', ':', 'The', 'star', 'made', 'a', 'lot', 'of', 'people', 's', 'days', 'on', 'Saturday', '', 'Wise', ':', 'Unlike', 'her', 'Legend', 'co', '-', 'star', ',', 'Emily', 'was', 'bone', 'dry', 'having', 'arrived', 'to', 'the', 'event', 'under', 'a', 'giant', 'umbrella', '', 'The', 'photos', 'of', 'the', 'actor', '-', 'who', 'is', 'currently', 'expecting', 'his', 'first', 'child', 'with', 'second', 'wife', 'Charlotte', 'Riley', '-', 'surfaced', 'after', 'he', 'made', 'the', 'unfortunate', 'mistake', 'of', 'leaving', 'his', 'old', 'MySpace', 'profile', 'open', '.', '']","[',', 'Emily', 'was', 'bone']","['after', 'he', 'made', 'the']","[',', 'Emily', 'was', 'bone', 'dry', 'having', 'arrived', 'to', 'the', 'event', 'under', 'a', 'giant', 'umbrella', '', 'The', 'photos', 'of', 'the', 'actor', '-', 'who', 'is', 'currently', 'expecting', 'his', 'first', 'child', 'with', 'second', 'wife']",0
"(0, 0)","(63, 63)","Kim is pictured, left, with Bruce at the ESPYs in 2006 and right, Caitlyn at the 2015 ESPYs   'I never really thought he would one day transition—that was never discussed,' the reality star wrote in an essay  posted on her new website on Wednesday.   'When I began seeing pictures of Bruce with his nails painted and those reports that he had his trachea shaved, I started to freak out,' she added.   ","['Kim', 'is', 'pictured', ',', 'left', ',', 'with', 'Bruce', 'at', 'the', 'ESPYs', 'in', '2006', 'and', 'right', ',', 'Caitlyn', 'at', 'the', '2015', 'ESPYs', '', '', 'I', 'never', 'really', 'thought', 'he', 'would', 'one', 'day', 'transition', '—', 'that', 'was', 'never', 'discussed', ',', '', 'the', 'reality', 'star', 'wrote', 'in', 'an', 'essay', '', 'posted', 'on', 'her', 'new', 'website', 'on', 'Wednesday', '.', '', '', 'When', 'I', 'began', 'seeing', 'pictures', 'of', 'Bruce', 'with', 'his', 'nails', 'painted', 'and', 'those', 'reports', 'that', 'he', 'had', 'his', 'trachea', 'shaved', ',', 'I', 'started', 'to', 'freak', 'out', ',', '', 'she', 'added', '.', '']","['is', 'pictured', ',', 'left']","['with', 'his', 'nails', 'painted']","['is', 'pictured', ',', 'left', ',', 'with', 'Bruce', 'at', 'the', 'ESPYs', 'in', '2006', 'and', 'right', ',', 'Caitlyn', 'at', 'the', '2015', 'ESPYs', '', '', 'I', 'never', 'really', 'thought', 'he', 'would', 'one', 'day', 'transition', '—', 'that', 'was', 'never', 'discussed', ',', '', 'the', 'reality', 'star', 'wrote', 'in', 'an', 'essay', '', 'posted', 'on', 'her', 'new', 'website', 'on', 'Wednesday', '.', '', '', 'When', 'I', 'began', 'seeing', 'pictures', 'of']",0
"(5, 6)","(11, 11)","On a recent evening, David Swartwood and his wife, Katie, played with their two kids in a small park that doubles as the front yard for the couple and a handful of neighbors.","['On', 'a', 'recent', 'evening', ',', 'David', 'Swartwood', 'and', 'his', 'wife', ',', 'Katie', ',', 'played', 'with', 'their', 'two', 'kids', 'in', 'a', 'small', 'park', 'that', 'doubles', 'as', 'the', 'front', 'yard', 'for', 'the', 'couple', 'and', 'a', 'handful', 'of', 'neighbors', '.']","['and', 'his', 'wife', ',']","[',', 'played', 'with', 'their']","['and', 'his', 'wife', ',']",1
"(4, 5)","(26, 26)","Givenchy creative director, Riccardo Tisci—now a close friend to Kardashian—even admitted to only befriending Kim because of his close relationship with Kanye, and th…
","['Givenchy', 'creative', 'director', ',', 'Riccardo', 'Tisci', '—', 'now', 'a', 'close', 'friend', 'to', 'Kardashian', '—', 'even', 'admitted', 'to', 'only', 'befriending', 'Kim', 'because', 'of', 'his', 'close', 'relationship', 'with', 'Kanye', ',', 'and', 'th', '…', '']","['—', 'now', 'a', 'close']","[',', 'and', 'th', '…']","['—', 'now', 'a', 'close', 'friend', 'to', 'Kardashian', '—', 'even', 'admitted', 'to', 'only', 'befriending', 'Kim', 'because', 'of', 'his', 'close', 'relationship', 'with']",0
"(1, 3)","(5, 6)","Pathologist Dr Kirsten Hope said Mr Bennett suffered a fractured femur and 38 separate cuts, bruises and grazes.","['Pathologist', 'Dr', 'Kirsten', 'Hope', 'said', 'Mr', 'Bennett', 'suffered', 'a', 'fractured', 'femur', 'and', '38', 'separate', 'cuts', ',', 'bruises', 'and', 'grazes', '.']","['said', 'Mr', 'Bennett', 'suffered']","['suffered', 'a', 'fractured', 'femur']",['said'],0
"(9, 9)","(25, 25)","""I was still in school working on my Masters in media studies, so I said I'll devote this time to finishing my Masters, and some blogging or something to make additional income.""She started working on a few projects, including building websites for professionals in the health industry and creating online communities, first building a Facebook page for Tyler Perry's character Madea that attracted around 30,000 fans.","['""', 'I', 'was', 'still', 'in', 'school', 'working', 'on', 'my', 'Masters', 'in', 'media', 'studies', ',', 'so', 'I', 'said', 'I', 'll', 'devote', 'this', 'time', 'to', 'finishing', 'my', 'Masters', ',', 'and', 'some', 'blogging', 'or', 'something', 'to', 'make', 'additional', 'income.""She', 'started', 'working', 'on', 'a', 'few', 'projects', ',', 'including', 'building', 'websites', 'for', 'professionals', 'in', 'the', 'health', 'industry', 'and', 'creating', 'online', 'communities', ',', 'first', 'building', 'a', 'Facebook', 'page', 'for', 'Tyler', 'Perry', 's', 'character', 'Madea', 'that', 'attracted', 'around', '30,000', 'fans', '.']","['in', 'media', 'studies', ',']","[',', 'and', 'some', 'blogging']","['in', 'media', 'studies', ',', 'so', 'I', 'said', 'I', 'll', 'devote', 'this', 'time', 'to', 'finishing', 'my']",0
"(0, 1)","(12, 13)","Sedelta Oosahwee, a Native American from Oklahoma, stood next to Alexander Kurien, a native of India, during the ceremony on the South Lawn of the White House.","['Sedelta', 'Oosahwee', ',', 'a', 'Native', 'American', 'from', 'Oklahoma', ',', 'stood', 'next', 'to', 'Alexander', 'Kurien', ',', 'a', 'native', 'of', 'India', ',', 'during', 'the', 'ceremony', 'on', 'the', 'South', 'Lawn', 'of', 'the', 'White', 'House', '.']","[',', 'a', 'Native', 'American']","[',', 'a', 'native', 'of']","[',', 'a', 'Native', 'American', 'from', 'Oklahoma', ',', 'stood', 'next', 'to']",0
"(4, 4)","(14, 14)","Zac said of the Dawson's Creek alum: 'When I first saw Katie and her rapport on a red carpet, I saw that magic.","['Zac', 'said', 'of', 'the', 'Dawson', 's', 'Creek', 'alum', ':', '', 'When', 'I', 'first', 'saw', 'Katie', 'and', 'her', 'rapport', 'on', 'a', 'red', 'carpet', ',', 'I', 'saw', 'that', 'magic', '.']","['s', 'Creek', 'alum', ':']","['and', 'her', 'rapport', 'on']","['s', 'Creek', 'alum', ':', '', 'When', 'I', 'first', 'saw']",0
"(8, 10)","(22, 23)",Britons reflect on 63 years of life under Queen Elizabeth II   Derby (United Kingdom) (AFP) - Queen Elizabeth II will become Britain's longest-reigning monarch on Wednesday after over 63 years on the throne.   ,"['Britons', 'reflect', 'on', '63', 'years', 'of', 'life', 'under', 'Queen', 'Elizabeth', 'II', '', 'Derby', '(', 'United', 'Kingdom', ')', '(', 'AFP', ')', '-', 'Queen', 'Elizabeth', 'II', 'will', 'become', 'Britain', 's', 'longest', '-', 'reigning', 'monarch', 'on', 'Wednesday', 'after', 'over', '63', 'years', 'on', 'the', 'throne', '.', '']","['', 'Derby', '(', 'United']","['will', 'become', 'Britain', 's']","['', 'Derby', '(', 'United', 'Kingdom', ')', '(', 'AFP', ')', '-', 'Queen']",0
"(0, 2)","(9, 11)","Will Smith's birthday message for his wife, Jada Pinkett Smith, on Friday, Sept. 18, was the sweetest throwback post ever -- read it here!This article originally appeared on Usmagazine.com: Will Smith's Birthday Message for Wife Jada Pinkett Smith Is the Sweetest Throwback Post…   ","['Will', 'Smith', 's', 'birthday', 'message', 'for', 'his', 'wife', ',', 'Jada', 'Pinkett', 'Smith', ',', 'on', 'Friday', ',', 'Sept.', '18', ',', 'was', 'the', 'sweetest', 'throwback', 'post', 'ever', '--', 'read', 'it', 'here!This', 'article', 'originally', 'appeared', 'on', 'Usmagazine.com', ':', 'Will', 'Smith', 's', 'Birthday', 'Message', 'for', 'Wife', 'Jada', 'Pinkett', 'Smith', 'Is', 'the', 'Sweetest', 'Throwback', 'Post', '…', '']","['birthday', 'message', 'for', 'his']","[',', 'on', 'Friday', ',']","['birthday', 'message', 'for', 'his', 'wife', ',']",1
"(15, 15)","(51, 52)","Back to basics: Kim looked decidedly more simple than what she wore to the Givenchy show on Friday, one of her most outrageous pregnancy looks yet      Glam: Kylie accessorized with glamorous aviator sunglasses, numerous gold Cartier bracelets, and a watch   After the show, Kylie Instagrammed a selfie with two of her girlfriends, writing: '@alexanderwangny show was DOPE.","['Back', 'to', 'basics', ':', 'Kim', 'looked', 'decidedly', 'more', 'simple', 'than', 'what', 'she', 'wore', 'to', 'the', 'Givenchy', 'show', 'on', 'Friday', ',', 'one', 'of', 'her', 'most', 'outrageous', 'pregnancy', 'looks', 'yet', '', 'Glam', ':', 'Kylie', 'accessorized', 'with', 'glamorous', 'aviator', 'sunglasses', ',', 'numerous', 'gold', 'Cartier', 'bracelets', ',', 'and', 'a', 'watch', '', 'After', 'the', 'show', ',', 'Kylie', 'Instagrammed', 'a', 'selfie', 'with', 'two', 'of', 'her', 'girlfriends', ',', 'writing', ':', '', '@alexanderwangny', 'show', 'was', 'DOPE', '.']","['show', 'on', 'Friday', ',']","['a', 'selfie', 'with', 'two']","['show', 'on', 'Friday', ',', 'one', 'of', 'her', 'most', 'outrageous', 'pregnancy', 'looks', 'yet', '', 'Glam', ':', 'Kylie', 'accessorized', 'with', 'glamorous', 'aviator', 'sunglasses', ',', 'numerous', 'gold', 'Cartier', 'bracelets', ',', 'and', 'a', 'watch', '', 'After', 'the', 'show', ',']",0
"(7, 8)","(20, 20)",The office of South Dakota Attorney General Marty Jackley issued a statement Monday night saying preliminary autopsy results show the Westerhuis family died of shotgun wounds.   ,"['The', 'office', 'of', 'South', 'Dakota', 'Attorney', 'General', 'Marty', 'Jackley', 'issued', 'a', 'statement', 'Monday', 'night', 'saying', 'preliminary', 'autopsy', 'results', 'show', 'the', 'Westerhuis', 'family', 'died', 'of', 'shotgun', 'wounds', '.', '']","['issued', 'a', 'statement', 'Monday']","['family', 'died', 'of', 'shotgun']","['issued', 'a', 'statement', 'Monday', 'night', 'saying', 'preliminary', 'autopsy', 'results', 'show', 'the']",0
"(9, 10)","(12, 13)",The only other school that rivaled his love for Virginia Tech was Salem High.   ,"['The', 'only', 'other', 'school', 'that', 'rivaled', 'his', 'love', 'for', 'Virginia', 'Tech', 'was', 'Salem', 'High', '.', '']","['was', 'Salem', 'High', '.']","['.', '']",['was'],0
"(0, 1)","(43, 47)","Ceawlin Thynn, 41, said the row resulted in him banning his 71-year-old mother from attending his lavish wedding to Emma McQuiston, 29 (pictured above), and from seeing the couple's 11-month-old son, John      The family are pictured on the grounds of their Giraffe Park at Longleat in happier times - almost 50 years ago      One family member familiar with the estate’s internal politics confirms that the atmosphere at Longleat House (pictured) is tense to say the least.","['Ceawlin', 'Thynn', ',', '41', ',', 'said', 'the', 'row', 'resulted', 'in', 'him', 'banning', 'his', '71-year', '-', 'old', 'mother', 'from', 'attending', 'his', 'lavish', 'wedding', 'to', 'Emma', 'McQuiston', ',', '29', '(', 'pictured', 'above', ')', ',', 'and', 'from', 'seeing', 'the', 'couple', 's', '11-month', '-', 'old', 'son', ',', 'John', '', 'The', 'family', 'are', 'pictured', 'on', 'the', 'grounds', 'of', 'their', 'Giraffe', 'Park', 'at', 'Longleat', 'in', 'happier', 'times', '-', 'almost', '50', 'years', 'ago', '', 'One', 'family', 'member', 'familiar', 'with', 'the', 'estate', '’s', 'internal', 'politics', 'confirms', 'that', 'the', 'atmosphere', 'at', 'Longleat', 'House', '(', 'pictured', ')', 'is', 'tense', 'to', 'say', 'the', 'least', '.']","[',', '41', ',', 'said']","['pictured', 'on', 'the', 'grounds']","[',', '41', ',', 'said', 'the', 'row', 'resulted', 'in', 'him', 'banning', 'his', '71-year', '-', 'old', 'mother', 'from', 'attending', 'his', 'lavish', 'wedding', 'to', 'Emma', 'McQuiston', ',', '29', '(', 'pictured', 'above', ')', ',', 'and', 'from', 'seeing', 'the', 'couple', 's', '11-month', '-', 'old', 'son', ',']",0
"(1, 1)","(4, 5)","“Josh has torn Kristen’s world apart,” the insider says. “","['“', 'Josh', 'has', 'torn', 'Kristen', '’s', 'world', 'apart', ',', '”', 'the', 'insider', 'says', '.', '“']","['has', 'torn', 'Kristen', '’s']","['world', 'apart', ',', '”']","['has', 'torn']",0
"(19, 19)","(23, 23)","Veteran actor Rishi Kapoor, who turned 62 on Friday, had a cosy birthday celebration with his wife Neetu and their son Ranbir at a restaurant here.","['Veteran', 'actor', 'Rishi', 'Kapoor', ',', 'who', 'turned', '62', 'on', 'Friday', ',', 'had', 'a', 'cosy', 'birthday', 'celebration', 'with', 'his', 'wife', 'Neetu', 'and', 'their', 'son', 'Ranbir', 'at', 'a', 'restaurant', 'here', '.']","['and', 'their', 'son', 'Ranbir']","['at', 'a', 'restaurant', 'here']","['and', 'their', 'son']",0
